filename,tps,innodb_thread_concurrency,thread_cache_size,max_connections,query_cache_size,sort_buffer_size,join_buffer_size,tmp_table_size,innodb_purge_threads,innodb_read_io_threads,innodb_write_io_threads,optimizer_search_depth,cpu,innodb_buffer_pool_size,key_buffer_size,innodb_io_capacity,innodb_io_capacity_max,sync_binlog,open_files_limit,table_open_cache,readIO,writeIO,IO
history_task20_ddpg.json,4513.076,,,,,,,,,,,,90.67203124924433,27398803251,,,,,,,257.24912109160624,510.79264322491,768.0417643165163
history_task20_ga.json,4404.3713333333335,,,,,,,,,,,,89.41661458258812,29273726976,,,,,,,238.08281249801598,456.8408528607763,694.9236653587923
history_task20_mbo.json,5146.485333333332,,,,,,,,,,,,95.65114583253616,27526959923,,,,,,,182.3898763005634,414.0318684861331,596.4217447866965
history_task20_smac.json,4358.127333333334,,,,,,,,,,,,90.07286458258261,27727119155,,,,,,,229.54052734183716,516.6155924436115,746.1561197854487
history_task21_ddpg.json,60.89837498345055,103,,18449,,,,,,,,,60.869747898616026,,,,,,,,0.0,0.0,0.0
history_task21_ga.json,62.85822699600274,18,,302,,,,,,,,,59.27162309313301,,,,,,,,0.0,0.0,0.0
history_task21_mbo.json,68.52924713041358,16,,407,,,,,,,,,63.93891859709626,,,,,,,,0.0,0.0,0.0
history_task21_smac.json,65.33594059070377,20,,24123,,,,,,,,,63.568665157759746,,,,,,,,0.0,0.0,0.0
history_task22_ddpg.json,70.71573049208793,17,11,30387,83288672,57984,,,,,,,66.13450576038542,34353037722,407951143,,5817,,,,0.0,0.0,0.0
history_task22_ga.json,59.72101407550311,0,1950,157,1901592,2757517,,,,,,,63.342724457648664,22953265561,12060370,,253,,,,0.0,0.0,0.0
history_task22_mbo.json,61.966302085156016,16,264,5680,17579628,308629,,,,,,,60.495668448647905,21638961869,270612903,,1041,,,,0.0,0.0,0.0
history_task22_smac.json,60.604967365476504,0,7209,13217,10950311,28334958,,,,,,,64.2380252095104,31206100788,1933740423,,23838,,,,0.0,0.0,0.0
history_task23_ddpg.json,255267.34966518893,,,,,,,,,,,,61.81473958281821,26963122176,,,22083,,,,0.0003580729166636827,0.00042317708332980687,0.0007812499999934896
history_task23_ga.json,266684.58758612955,,,,,,,,,,,,66.13260416611556,29497496167,,,23760,,,,0.0,0.00042317708332980687,0.00042317708332980687
history_task23_mbo.json,256924.83244467137,,,,,,,,,,,,63.50984374947078,27798804890,,,246,,,,0.0,0.00042317708332980687,0.00042317708332980687
history_task23_smac.json,259059.2007493732,,,,,,,,,,,,58.511666666179025,10335496215,,,104,,,,0.0,0.00042317708332980687,0.00042317708332980687
history_task24_ddpg.json,47126.58900168097,,,,,,,,,,,,62.423281249479835,33747076506,,,,,,,0.0,0.00042317708332980687,0.00042317708332980687
history_task24_ga.json,45414.277415940356,,,,,,,,,,,,58.490833332845874,10315723388,,,,,,,0.0,0.00042317708332980687,0.00042317708332980687
history_task24_mbo.json,46773.89345648906,,,,,,,,,,,,60.890520832825885,12072310732,,,,,,,0.0,0.00042317708332980687,0.00042317708332980687
history_task24_smac.json,46222.00159938677,,,,,,,,,,,,68.36067708276366,13727180799,,,,,,,0.0,0.00039062499999674476,0.00039062499999674476
history_task25_ddpg.json,52.34224426370586,,,,,,,,,,,,15.522850574609214,,,,,,,,0.0,4.92593749996716,4.92593749996716
history_task25_ga.json,52.12816924867671,,,,,,,,,,,,15.117747126336052,,,,,,,,0.0,5.105494791632631,5.105494791632631
history_task25_mbo.json,51.78399072146509,,,,,,,,,,,,15.414551724035226,,,,,,,,0.0,5.623645833295843,5.623645833295843
history_task25_smac.json,52.16645644151931,,,,,,,,,,,,16.58285057460213,,,,,,,,0.0,5.650520833295664,5.650520833295664
history_task26_ddpg.json,8.57037289971364,,,,,,,,,,,,15.522850574609214,22453541273,,6069,425,,,,0.0,4.92593749996716,4.92593749996716
history_task26_ga.json,8.535320854599407,,,,,,,,,,,,15.117747126336052,23902353203,,1288,5778,,,,0.0,5.105494791632631,5.105494791632631
history_task26_mbo.json,8.478966023740096,,,,,,,,,,,,15.414551724035226,20166506291,,38396,6194,,,,0.0,5.623645833295843,5.623645833295843
history_task26_smac.json,8.541589892630927,,,,,,,,,,,,16.58285057460213,20350255104,,28717,173,,,,0.0,5.650520833295664,5.650520833295664
history_task27_ddpg.json,67.3246262003693,15,,99097,,,,,,,,,64.54245777455024,,,,,,,,0.0,0.0,0.0
history_task27_ga.json,60.84322627291634,11,,73475,,,,,,,,,55.70661764656145,,,,,,,,0.0,0.0,0.0
history_task27_mbo.json,62.03007869622508,14,,11973,,,,,,,,,53.14283422411573,,,,,,,,0.0,0.0,0.0
history_task27_smac.json,65.93096782615447,19,,87349,,,,,,,,,61.90542547055825,,,,,,,,0.0,0.0,0.0
history_task28_ddpg.json,61.19028217054613,0,,249,,,,,,,,,15.214266009765309,14535286067,,,,,,,0.0,3.2485044642671514,3.2485044642671514
history_task28_ga.json,61.19028217054613,47,,73637,,,,,,,,,17.722380422577587,20494191411,,,,,,,0.0,3.5120463709450838,3.5120463709450838
history_task28_mbo.json,61.19028217054613,0,,68088,,,,,,,,,15.290545049957018,33991571252,,,,,,,0.0,3.4521169354615995,3.4521169354615995
history_task28_smac.json,61.19028217054613,10,,607,,,,,,,,,12.83851179666565,30789645722,,,,,,,0.0,2.9616159539317812,2.9616159539317812
